,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
2857,Vidal Health Tpa,"Promotions, Salary, Company Culture",,3.4,386,1.2k,29,9,Insurance | Bengaluru +40 other locations,NA
2858,Call 2 Connect,"Promotions, Company Culture, Salary",,2.5,386,1k,19,1,BPO | Mumbai +19 other locations,NA
2859,Konecranes,"Work Life Balance, Job Security, Company Culture","Promotions, Salary, Work Satisfaction",3.8,386,1.9k,23,2,Industrial Machinery | Pune +13 other locations,NA
2860,VIT University,"Work Life Balance, Job Security, Skill Development",,4.0,386,1.5k,34,81,Education & Training | Vellore +15 other locations,NA
2861,Jeeves Consumer Services,"Promotions, Job Security, Company Culture",,3.5,386,870,34,8,Consumer Electronics & Appliances | Bengaluru +61 other locations,NA
2862,Moolchand Hospital,"Company Culture, Work Life Balance, Promotions",,4.1,386,751,21,18,Healthcare | New Delhi +10 other locations,NA
2863,Fosroc India,"Job Security, Company Culture, Work Life Balance",,4.3,386,1.4k,26,2,Chemicals | Bengaluru +46 other locations,NA
2864,Nissan,"Promotions, Job Security, Company Culture",,3.5,385,1.8k,29,6,Automobile | Chennai +73 other locations,NA
2865,Kennametal,"Promotions, Work Satisfaction, Job Security",,3.5,385,1.9k,31,2,Industrial Machinery | Bengaluru +13 other locations,NA
2866,BCH Electric,"Work Life Balance, Salary, Company Culture",,4.0,386,1.4k,22,20,Electrical Equipment | Faridabad +38 other locations,NA
2867,Dynacons Systems & Solutions,"Promotions, Salary, Skill Development",,3.7,385,1.4k,26,36,IT Services & Consulting | Mumbai +74 other locations,NA
2868,Wellness Forever Lifestyle Chemist,"Skill Development, Company Culture",Promotions,3.9,385,1.1k,28,--,Retail | Mumbai +45 other locations,NA
2869,Dorf Ketal Chemicals,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,384,1.9k,23,8,Oil & Gas | Mumbai +39 other locations,NA
2870,Sleek International,"Promotions, Work Satisfaction, Salary",,3.5,384,1.2k,31,--,Furniture & Furnishing | Mumbai +83 other locations,NA
2871,Thermax Babcock Wilcox Energy Solutions,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,384,1.8k,25,--,Industrial Machinery | Pune +40 other locations,NA
2872,Sumitomo Chemical,"Work Life Balance, Job Security, Work Satisfaction",Promotions,4.1,384,1.5k,21,45,Chemicals | Bhavnagar +83 other locations,NA
2873,AgreeYa Solutions,"Promotions, Skill Development, Job Security",,3.2,384,2.4k,26,3,IT Services & Consulting | Noida +10 other locations,NA
2874,SRM University,"Promotions, Salary, Work Satisfaction",,3.6,384,1.5k,31,3,Education & Training | Chennai +27 other locations,NA
2875,Duroshox,"Skill Development, Company Culture, Work Life Balance",,4.1,384,1k,20,1,Auto Components | Pune +3 other locations,NA
2876,VTP Realty,"Company Culture, Work Life Balance, Work Satisfaction",,3.5,385,1.9k,43,18,Real Estate | Pune +3 other locations,NA
2877,Sangeetha Mobile,"Promotions, Salary, Job Security",,3.5,384,1.5k,20,1,Retail | Bengaluru +83 other locations,NA
2878,AIMLAY,"Company Culture, Work Life Balance, Skill Development",,4.7,384,414,16,10,EdTech | New Delhi +3 other locations,NA
2879,CapeStart,"Company Culture, Job Security, Skill Development",,4.5,384,632,80,28,IT Services & Consulting | Nagercoil +4 other locations,NA
2880,Kaddacon Systems,"Company Culture, Work Life Balance, Work Satisfaction",,4.6,383,--,18,--,IT Services & Consulting | Pune +8 other locations,NA
2881,SMS India Private Limited,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.1,385,1.9k,32,--,Engineering & Construction | Gurugram +22 other locations,NA
2882,Glaze Trading India,"Company Culture, Skill Development, Work Life Balance",,4.3,383,894,17,--,Retail | New Delhi +88 other locations,NA
2883,Xdbs,"Promotions, Work Satisfaction, Skill Development",,2.7,383,1.6k,38,--,Marketing & Advertising | Pune +4 other locations,NA
2884,Ryan,"Job Security, Company Culture, Work Life Balance",Promotions,4.0,383,1.8k,32,9,Accounting & Auditing | Hyderabad +5 other locations,NA
2885,Bharat Rasayan,"Job Security, Skill Development, Work Life Balance",,4.0,383,1.6k,34,--,Agro Chemicals | Bharuch +19 other locations,NA
2886,Intelliswift - An LTTS Company,"Job Security, Promotions, Work Satisfaction",,3.3,383,2.4k,32,3,IT Services & Consulting | Bengaluru +9 other locations,NA
2887,Euler Motors,"Job Security, Promotions, Company Culture",,3.6,384,1.6k,42,21,Automobile | New Delhi +30 other locations,NA
2888,Hurix Digital,"Promotions, Job Security, Salary",,3.2,383,1.9k,37,13,IT Services & Consulting | Chennai +6 other locations,NA
2889,Vectus Industries,"Salary, Company Culture, Work Life Balance",,4.1,382,1.3k,19,3,Petrochemicals | Noida +62 other locations,NA
2890,Elentec Power India (EPI) Pvt. Ltd.,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,3.9,382,1.4k,38,23,IT Services & Consulting | Noida +19 other locations,NA
2891,Cooper Corporation,"Skill Development, Work Life Balance, Salary",Promotions,4.0,382,1.4k,53,22,Auto Components | Satara +14 other locations,NA
2892,Europa Locks,"Promotions, Company Culture, Work Satisfaction",,3.6,382,1.7k,25,31,Building Material | Pune +43 other locations,NA
2893,US Tech Solutions,"Job Security, Promotions, Skill Development",,3.6,383,2.1k,22,--,Recruitment | Noida +13 other locations,NA
2894,World Vision,"Work Satisfaction, Company Culture, Work Life Balance",,4.3,382,721,21,1,Non-Profit | Chennai +99 other locations,NA
2895,Alfa Laval,"Work Life Balance, Company Culture, Job Security",Promotions,3.9,382,1.9k,35,26,Industrial Machinery | Pune +18 other locations,NA
2896,Diverse Lynx,"Job Security, Promotions, Company Culture",,3.5,382,2k,23,3.5k,IT Services & Consulting | Noida +19 other locations,NA
2897,Grand Hyatt,"Job Security, Company Culture, Skill Development",,4.2,382,929,13,--,Hospitality | Mumbai +29 other locations,NA
2898,Grey Orange,"Job Security, Promotions, Work Life Balance",,3.1,383,2.3k,47,10,Software Product | Gurugram +10 other locations,NA
2899,Coronis Health,"Promotions, Job Security, Skill Development",,3.4,382,1.2k,28,6,Analytics & KPO | Sahibzada Ajit Singh Nagar +10 other locations,NA
2900,Watertec India,Salary,"Promotions, Company Culture, Job Security",3.7,381,1.4k,15,9,Building Material | Coimbatore +75 other locations,NA
2901,Acme Generics LLP,"Company Culture, Promotions, Job Security",,3.4,381,1.2k,17,--,Pharma | Baddi +24 other locations,NA
2902,Srei Equipment Finance,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.2,381,1k,11,--,Financial Services | Kolkata +79 other locations,NA
2903,Everest Spices,"Promotions, Skill Development",,3.8,381,1.1k,17,2,FMCG | Mumbai +76 other locations,NA
2904,Indraprastha Gas,Work Life Balance,"Promotions, Job Security",3.9,381,1.7k,21,--,Oil & Gas | New Delhi +28 other locations,NA
2905,Jade Global,"Promotions, Work Satisfaction, Job Security",,3.4,381,3.1k,46,167,IT Services & Consulting | Pune +8 other locations,NA
2906,TrueBlue,Work Life Balance,"Promotions, Job Security, Skill Development",3.5,381,2.3k,29,1,Recruitment | Gurugram +7 other locations,NA
2907,Runwal Group,"Work Life Balance, Job Security",Promotions,3.9,381,1.8k,26,--,Real Estate | Mumbai +9 other locations,NA
2908,Dimension Data,"Work Life Balance, Company Culture, Work Satisfaction",,4.5,380,1.2k,8,--,IT Services & Consulting | Bengaluru +54 other locations,NA
2909,Rosmerta Technologies,"Promotions, Company Culture, Skill Development",,3.4,380,1.7k,32,--,Automobile | Gurugram +55 other locations,NA
2910,Polybond India,"Promotions, Work Satisfaction, Job Security",,3.8,380,1.4k,16,17,Auto Components | Pune +14 other locations,NA
2911,Mobileum,"Promotions, Skill Development, Work Satisfaction",,3.3,380,2.4k,42,1,Software Product | Bengaluru +10 other locations,NA
2912,AQuity Solutions India,"Promotions, Salary",,3.7,380,2k,41,--,IT Services & Consulting | Hyderabad +21 other locations,NA
2913,Methodex,Promotions,,3.8,380,1.3k,15,17,Law Enforcement & Security | New Delhi +47 other locations,NA
2914,Slice,"Promotions, Job Security, Skill Development",,3.1,381,2.2k,55,10,Banking | Bengaluru +42 other locations,NA
2915,Marelli Motherson Automotive Lighting,Job Security,"Promotions, Company Culture, Work Life Balance",3.6,380,1.4k,27,--,Auto Components | Pune +15 other locations,NA
2916,Kirloskar Toyota Textile Machinery,"Company Culture, Work Life Balance, Job Security",,4.5,379,804,21,--,Industrial Machinery | Bengaluru +11 other locations,NA
2917,Expedia Group,"Work Life Balance, Salary","Promotions, Job Security, Skill Development",3.6,379,3.6k,87,44,Internet | Gurugram +14 other locations,NA
2918,Alfanar,"Work Life Balance, Job Security, Salary",Promotions,4.0,379,935,24,13,Electronics Manufacturing | Chennai +33 other locations,NA
2919,OodlesTechnologies,"Job Security, Promotions, Salary",,3.3,380,1.5k,79,4,IT Services & Consulting | Gurugram +11 other locations,NA
2920,Medline Industries India Private Limited,"Work Life Balance, Company Culture",Promotions,3.8,379,2.6k,48,3,Medical Equipment | Pune +8 other locations,NA
2921,Teamspace Financial Services,"Company Culture, Work Life Balance",Promotions,3.9,379,1.1k,22,--,Recruitment | Mumbai +122 other locations,NA
2922,JUSTO Realfintech,"Skill Development, Company Culture, Work Life Balance",,4.4,379,652,124,47,Real Estate | Pune +11 other locations,NA
2923,Helloverify,"Promotions, Job Security, Company Culture",,2.9,379,1.6k,35,--,Law Enforcement & Security | Noida +9 other locations,NA
2924,S2 Infotech,"Job Security, Promotions, Company Culture",,3.5,378,1.6k,13,--,Recruitment | Mumbai +70 other locations,NA
2925,Kores,"Promotions, Company Culture",,3.6,378,1.7k,20,11,FMCG | Mumbai +40 other locations,NA
2926,Neuberg Diagnostics,"Promotions, Company Culture, Job Security",,3.4,378,1.6k,17,19,Healthcare | Chennai +53 other locations,NA
2927,Shakti Pumps,"Promotions, Company Culture, Work Satisfaction",,3.7,378,1.4k,40,72,Industrial Machinery | Indore +44 other locations,NA
2928,Intercontinental Consultants & Technocrats,"Work Life Balance, Company Culture, Salary",,4.1,378,1.1k,30,9,Engineering & Construction | New Delhi +60 other locations,NA
2929,PropTiger.com,"Salary, Skill Development, Company Culture","Job Security, Promotions",3.8,378,1.2k,24,--,Internet | Bengaluru +14 other locations,NA
2930,ANTOLIN,Work Life Balance,"Promotions, Skill Development, Salary",3.7,378,1.7k,28,2,Auto Components | Pune +19 other locations,NA
2931,Eisai Pharmaceuticals,"Work Life Balance, Company Culture",Promotions,4.0,378,1.2k,25,--,Healthcare | Visakhapatnam +26 other locations,NA
2932,Foundit,"Promotions, Job Security, Work Satisfaction",,3.2,378,2k,35,--,Hyderabad +15 other locations,NA
2933,Imarque Solutions,"Promotions, Salary, Work Life Balance",,3.0,377,1.4k,18,48,BPO | Chennai +16 other locations,NA
2934,Berkadia,"Work Life Balance, Company Culture, Job Security","Promotions, Work Satisfaction, Salary",3.8,377,2.2k,32,2,Real Estate | Hyderabad +6 other locations,NA
2935,NR Consulting,"Company Culture, Work Life Balance, Work Satisfaction",,4.7,384,305,81,733,Recruitment | Noida +17 other locations,NA
2936,Elecon Engineering,"Work Life Balance, Company Culture, Skill Development",,4.2,377,1.4k,21,19,Electrical Equipment | Anand +23 other locations,NA
2937,Milkbasket,Work Life Balance,Promotions,3.9,377,1.6k,27,--,Internet | Gurugram +23 other locations,NA
2938,G. D. Foods MFG (TOPS),"Promotions, Job Security",,3.8,377,962,24,14,Food Processing | New Delhi +51 other locations,NA
2939,Paragon Footwear,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",3.9,377,1.3k,17,2,Fashion & Textile | Bengaluru +63 other locations,NA
2940,Sandvik Mining and Rock Technology,"Company Culture, Work Life Balance, Job Security",Promotions,4.1,377,1.6k,31,--,Industrial Machinery | Udaipur +31 other locations,NA
2941,Nobel Hygiene,Salary,"Job Security, Promotions, Skill Development",3.7,377,1.3k,23,21,Healthcare | Mumbai +86 other locations,NA
2942,IPE Global,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",3.9,376,1.1k,27,53,Management Consulting | New Delhi +95 other locations,NA
2943,Arcesium,"Work Life Balance, Work Satisfaction, Promotions",,3.3,376,3.8k,91,25,IT Services & Consulting | Hyderabad +8 other locations,NA
2944,Andromeda Sales ans Distribution PVT LTD,"Promotions, Job Security, Salary",,3.2,376,1.5k,21,4,Internet | Mumbai +70 other locations,NA
2945,Rail Vikas Nigam,"Job Security, Promotions, Company Culture",,3.5,376,1k,14,--,FMCG | New Delhi +77 other locations,NA
2946,NTT Global Data Centers and Cloud Infrastructure,"Skill Development, Company Culture, Work Life Balance","Promotions, Salary",3.9,376,2.1k,27,--,IT Services & Consulting | Mumbai +17 other locations,NA
2947,Smartworks,"Promotions, Company Culture, Work Satisfaction",,3.3,377,2.2k,46,67,Real Estate | Bengaluru +18 other locations,NA
2948,Sedemac Mechatronics,"Company Culture, Work Life Balance",Promotions,4.0,377,1.5k,35,2,Emerging Technologies | Pune +7 other locations,NA
2949,Labournet Services,"Work Life Balance, Skill Development","Job Security, Promotions",4.0,376,890,23,1,Non-Profit | Bengaluru +59 other locations,NA
2950,Epsilon Carbon,"Salary, Work Life Balance",Promotions,3.8,376,1.8k,38,1,Chemicals | Ballari +19 other locations,NA
2951,Gps Renewables,"Salary, Skill Development, Company Culture",,4.1,377,839,88,1,Oil & Gas | Bengaluru +40 other locations,NA
2952,KaaShiv InfoTech Company,"Work Satisfaction, Company Culture, Job Security",,4.8,375,223,37,--,EdTech | Chennai +5 other locations,NA
2953,Ambuja Neotia,Job Security,"Promotions, Salary",3.9,376,1.3k,16,1,Real Estate | Kolkata +15 other locations,NA
2954,MCM Telecom Equipment,Skill Development,"Promotions, Salary",3.8,375,876,17,--,Electronics Manufacturing | Noida +6 other locations,NA
2955,Técnicas Reunidas,"Work Life Balance, Job Security",Promotions,3.9,375,1.6k,35,--,Engineering & Construction | Bengaluru +21 other locations,NA
2956,MSCI,Salary,"Promotions, Job Security, Work Satisfaction",3.7,374,3.6k,57,50,Financial Services | Mumbai +11 other locations,NA
2957,Servion Global Solutions,"Promotions, Job Security, Skill Development",,3.1,374,2.6k,36,11,IT Services & Consulting | Chennai +14 other locations,NA
2958,Agarwal Packers and Movers Limited,"Promotions, Salary, Skill Development",,3.4,374,1.6k,18,18,Logistics | New Delhi +46 other locations,NA
2959,The Hershey Company,"Company Culture, Work Life Balance, Job Security",Promotions,4.0,374,1.2k,22,17,Food Processing | Mumbai +63 other locations,NA
2960,Siemens Healthcare,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,374,2.3k,11,--,Healthcare | Bengaluru +26 other locations,NA
2961,Navi Technologies,"Job Security, Promotions, Work Satisfaction",,3.0,374,2.3k,69,91,FinTech | Bengaluru +18 other locations,NA
2962,Synokem Pharmaceuticals,"Work Life Balance, Company Culture, Job Security",Promotions,3.9,374,1.5k,16,2,Pharma | Haridwar +18 other locations,NA
2963,Krishna Group,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,374,1.5k,32,6,Auto Components | Gurugram +33 other locations,NA
2964,Karvy Innotech,"Promotions, Salary, Company Culture",,2.9,373,1.8k,31,13,IT Services & Consulting | New Delhi +43 other locations,NA
2965,Hilex,"Work Life Balance, Work Satisfaction, Job Security",Promotions,3.8,373,1.2k,18,9,Automobile | Chennai +17 other locations,NA
2966,Sharda University,"Promotions, Salary",,3.7,373,1.6k,24,4,Education & Training | Greater Noida +13 other locations,NA
2967,Hathi Cement,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,373,1.2k,24,8,Building Material | Porbandar +41 other locations,NA
2968,Richa Global Export,"Skill Development, Salary, Company Culture",,4.0,372,1.4k,18,--,Fashion & Textile | Gurugram +11 other locations,NA
2969,Veeda Clinical Research,"Promotions, Job Security, Salary",,3.4,372,1.5k,14,13,Clinical Research | Ahmedabad +7 other locations,NA
2970,SRMB SRIJAN,"Promotions, Work Satisfaction, Salary",,3.5,372,1.2k,35,50,Iron & Steel | Kolkata +48 other locations,NA
2971,Rubicon Research,"Promotions, Company Culture, Work Life Balance",,3.5,372,1.9k,28,22,Pharma | Mumbai +13 other locations,NA
2972,Aquasub Engineering,Work Life Balance,"Promotions, Job Security",3.8,372,1.3k,9,--,Industrial Machinery | Coimbatore +17 other locations,NA
2973,Bliss Gvs Pharma,"Company Culture, Job Security, Salary",,4.0,372,1.6k,30,7,Pharma | Mumbai +14 other locations,NA
2974,Heavy Engineering Industries & Shipbuilding,"Salary, Work Life Balance",Promotions,3.9,372,648,15,--,Engineering & Construction | Kuwait City +27 other locations,NA
2975,Johnson Controls Hitachi Air Conditioning,"Promotions, Skill Development, Work Satisfaction",,3.7,371,1.6k,23,--,Consumer Electronics & Appliances | Ahmedabad +37 other locations,NA
2976,Moser Baer,"Work Life Balance, Skill Development, Work Satisfaction",,3.9,371,681,9,--,Consumer Electronics & Appliances | Noida +12 other locations,NA
2977,Pharmarack Technologies,"Promotions, Job Security, Company Culture",,3.5,371,1.7k,34,1,Pharma | Pune +70 other locations,NA
2978,SYSTRA,Work Life Balance,Promotions,4.0,371,1.4k,29,--,Engineering & Construction | New Delhi +40 other locations,NA
2979,Mahendra’s Institute,"Salary, Promotions, Job Security",,3.2,371,688,10,1,Education & Training | Lucknow +93 other locations,NA
2980,Enterprise Growth Accelerator,"Job Security, Promotions, Skill Development",,3.5,370,628,11,--,Analytics & KPO | Faridabad +9 other locations,NA
2981,Satyam Venture Engineering Services,"Promotions, Salary, Skill Development",,3.3,370,2.4k,25,65,Auto Components | Hyderabad +12 other locations,NA
2982,Cashpor Micro Credit,"Promotions, Work Satisfaction, Skill Development",,3.6,370,833,27,--,NBFC | Varanasi +63 other locations,NA
2983,Royal Orchid Hotels,"Company Culture, Work Life Balance, Job Security",,4.0,369,945,14,2,Hospitality | Bengaluru +51 other locations,NA
2984,Toshiba JSW Power Systems,"Company Culture, Work Life Balance, Salary",,4.2,369,1.6k,22,8,Industrial Machinery | Chennai +14 other locations,NA
2985,SiliconIndia,"Job Security, Company Culture, Work Life Balance",,2.7,369,1.7k,28,2,Printing & Publishing | Bengaluru +9 other locations,NA
2986,Capital Small Finance Bank,"Skill Development, Work Satisfaction, Promotions",,3.6,369,1.3k,11,2,Banking | Jalandhar +69 other locations,NA
2987,RedBus,"Job Security, Work Life Balance, Company Culture",Promotions,4.1,369,2k,42,16,Internet | Bengaluru +21 other locations,NA
2988,Descon Engineering,"Salary, Work Life Balance, Skill Development",,4.0,369,668,22,--,Engineering & Construction | Mumbai +28 other locations,NA
2989,Maxxis Rubber,"Promotions, Company Culture, Work Satisfaction",,3.4,369,1.8k,33,1,Auto Components | Ahmedabad +18 other locations,NA
2990,Sunflag Iron and Steel,"Promotions, Work Satisfaction, Salary",,3.7,369,1.2k,31,4,Iron & Steel | Bhandara +16 other locations,NA
2991,Data-Core Systems,"Promotions, Salary, Skill Development",,2.9,368,1.2k,22,6,IT Services & Consulting | Kolkata +6 other locations,NA
2992,GE Aerospace,"Company Culture, Job Security, Skill Development","Promotions, Salary",4.1,368,1.8k,24,--,Defence & Aerospace | Pune +11 other locations,NA
2993,Zara,"Promotions, Work Life Balance, Work Satisfaction",,3.5,368,833,42,--,Fashion & Textile | New Delhi +22 other locations,NA
2994,TCG Lifesciences,"Work Life Balance, Job Security, Work Satisfaction",,4.1,368,1.2k,14,--,Pharma | Kolkata +8 other locations,NA
2995,Yellow Diamond,"Work Life Balance, Company Culture",Promotions,4.0,368,1.1k,23,6,FMCG | Indore +88 other locations,NA
2996,Bss Microfinance,Salary,,3.8,368,829,16,2,Financial Services | Bengaluru +133 other locations,NA
2997,RSM US in India,"Promotions, Work Satisfaction, Job Security",,3.4,368,3.4k,48,407,Management Consulting | Bengaluru +15 other locations,NA
2998,Teachnook,"Salary, Job Security, Work Life Balance",,2.8,368,416,91,--,EdTech | Bengaluru +19 other locations,NA
2999,Sri Aurobindo Society,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,367,746,53,--,Non-Profit | New Delhi +23 other locations,NA
3000,Associated Road Carriers,"Work Life Balance, Job Security, Company Culture",,4.1,367,1.2k,25,8,Logistics | Hyderabad +71 other locations,NA
3001,Ultra Corpotech,"Skill Development, Work Life Balance",Promotions,4.0,367,1.8k,24,--,Industrial Machinery | Pune +5 other locations,NA
3002,Centre For Sight,Promotions,,3.9,367,1.3k,18,29,Healthcare | New Delhi +37 other locations,NA
3003,Wildcraft,"Promotions, Salary, Company Culture",,3.6,367,1.5k,13,--,Fashion & Textile | Bengaluru +49 other locations,NA
3004,EXEDY,"Work Life Balance, Job Security, Work Satisfaction","Promotions, Salary",3.8,367,1.5k,24,3,Auto Components | Bengaluru +19 other locations,NA
3005,RNFI Services,"Job Security, Company Culture, Work Satisfaction",,3.2,368,1.1k,21,--,FinTech | New Delhi +101 other locations,NA
3006,Priya Cement,"Work Life Balance, Job Security, Company Culture",Promotions,4.1,367,1.1k,17,--,Building Material | Kurnool +54 other locations,NA
3007,Lauritz Knudsen Electrical & Automation,"Company Culture, Skill Development, Work Life Balance",Promotions,4.2,368,1.5k,23,--,Electronics Manufacturing | Mumbai +71 other locations,NA
3008,Apcer Life Sciences,"Promotions, Company Culture, Work Satisfaction",,3.4,367,1.3k,23,2,Pharma | New Delhi +9 other locations,NA
3009,Tata Toyo Radiator,"Job Security, Skill Development","Promotions, Salary, Company Culture",,--,--,--,--,Auto Components | Pune +11 other locations,NA
3010,K L University,Salary,Promotions,3.8,367,1.1k,47,3,Education & Training | Vijayawada +19 other locations,NA
3011,Rahee Group,"Work Life Balance, Job Security",Promotions,3.9,366,1.1k,37,13,Railways | Kolkata +48 other locations,NA
3012,Rainbow Hospital,"Promotions, Salary",,3.7,366,1.6k,20,--,Healthcare | Hyderabad +20 other locations,NA
3013,Trident Hotels,"Skill Development, Job Security, Company Culture",,4.0,366,985,18,--,Hospitality | Mumbai +18 other locations,NA
3014,Tega Industries,"Job Security, Work Life Balance","Promotions, Salary, Company Culture",3.7,366,1.5k,27,2,Industrial Machinery | Kolkata +20 other locations,NA
3015,Hyundai Engineering and Construction,"Salary, Work Satisfaction, Work Life Balance",,4.3,366,538,25,--,Engineering & Construction | Chennai +31 other locations,NA
3016,Civica India,"Job Security, Promotions, Salary",,3.1,366,2.1k,37,14,IT Services & Consulting | Vadodara +12 other locations,NA
3017,T&M Services consulting,"Promotions, Job Security, Salary",,3.7,366,1.1k,23,--,Recruitment | Mumbai +95 other locations,NA
3018,Bellsonica Auto Component,"Work Life Balance, Company Culture, Salary",Promotions,3.9,366,1.3k,24,--,Auto Components | Gurugram +14 other locations,NA
3019,Concord Biotech,"Job Security, Work Life Balance","Promotions, Skill Development, Salary",3.7,367,1.9k,22,17,Pharma | Ahmedabad +23 other locations,NA
3020,Planetcast,Job Security,"Promotions, Salary",3.7,367,1.5k,31,--,Media & Entertainment | Noida +14 other locations,NA
3021,Berar Finance,"Promotions, Job Security, Salary",,3.5,366,974,22,--,NBFC | Nagpur +97 other locations,NA
3022,Caparo Maruti,"Work Life Balance, Job Security, Company Culture",,4.2,365,1.2k,13,--,Auto Components | Gurugram +20 other locations,NA
3023,ITSource Technologies,"Promotions, Company Culture, Salary",,2.8,366,1.8k,31,--,IT Services & Consulting | Mumbai +28 other locations,NA
3024,Eclat Health Solutions,Job Security,Promotions,3.8,365,1.3k,65,14,Analytics & KPO | Hyderabad +11 other locations,NA
3025,Offshoot Agency,"Promotions, Job Security, Salary",,3.4,365,1.2k,27,1,IT Services & Consulting | New Delhi +22 other locations,NA
3026,Evolent Health International,"Work Life Balance, Company Culture, Work Satisfaction","Job Security, Promotions",3.9,365,1.8k,29,6,Software Product | Pune +4 other locations,NA
3027,Tata Digital,"Promotions, Company Culture, Work Satisfaction",,2.3,365,2.1k,49,11,IT Services & Consulting | Mumbai +10 other locations,NA
3028,Hollister Medical,"Company Culture, Work Life Balance, Job Security","Promotions, Salary",4.0,364,1.2k,26,14,Medical Equipment | Rewari +11 other locations,NA
3029,Pranav Vikas India Private Limited,"Job Security, Promotions",,3.7,364,1.2k,33,2,Automobile | Faridabad +16 other locations,NA
3030,Lloyds Metals And Energy,"Promotions, Company Culture",,3.8,364,1.3k,38,--,Metals & Mining | Chandrapur +14 other locations,NA
3031,Capri Global Housing Finance,"Job Security, Work Life Balance, Promotions",,3.5,364,1.2k,25,--,NBFC | Mumbai +98 other locations,NA
3032,Awign Enterprises,"Job Security, Promotions, Salary",,3.6,364,1.1k,47,36,Internet | Bengaluru +51 other locations,NA
3033,Indifi Technologies,"Promotions, Job Security, Work Satisfaction",,3.6,364,1.8k,41,22,FinTech | Gurugram +14 other locations,NA
3034,Dorset Industries,"Work Life Balance, Job Security, Company Culture",,4.3,364,904,79,11,Building Material | Gurugram +48 other locations,NA
3035,HL Mando,"Company Culture, Job Security, Skill Development",Promotions,4.0,364,1.3k,22,--,Auto Components | Chennai +22 other locations,NA
3036,Brick&Bolt,"Job Security, Work Life Balance, Work Satisfaction",,3.4,364,1.3k,38,33,Engineering & Construction | Bengaluru +9 other locations,NA
3037,Amoli Organics,Work Life Balance,Promotions,3.7,364,1.9k,16,--,Pharma | Vadodara +15 other locations,NA
3038,Vedant Fashions,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.2,364,1.2k,22,6,Fashion & Textile | Kolkata +50 other locations,NA
3039,Jawahar Navodaya Vidyalaya,"Work Life Balance, Salary, Work Satisfaction",Promotions,4.5,364,506,19,--,Education & Training | New Delhi +151 other locations,NA
3040,Captain Steel India Limited,Salary,Promotions,3.8,364,894,23,17,Iron & Steel | Kolkata +76 other locations,NA
3041,Actalent Services,"Company Culture, Work Life Balance","Promotions, Salary, Work Satisfaction",3.6,364,1.7k,24,--,Engineering & Construction | Bengaluru +9 other locations,NA
3042,HBL Global,"Job Security, Work Satisfaction, Company Culture",,4.3,363,366,9,--,NBFC | New Delhi +76 other locations,NA
3043,Watchyourhealth.com,"Company Culture, Work Life Balance, Work Satisfaction",,4.6,363,364,55,--,Emerging Technologies | Thane +3 other locations,NA
3044,Birla Cement,"Job Security, Company Culture, Work Life Balance",,4.1,363,1.1k,30,--,Building Material | Satna +74 other locations,NA
3045,Department of Agriculture,"Work Life Balance, Work Satisfaction, Skill Development",,4.3,363,1.3k,47,--,Agriculture | Bengaluru +142 other locations,NA
3046,Lumino Industries,"Work Satisfaction, Promotions, Skill Development",,3.8,363,1.1k,24,2,Electrical Equipment | Kolkata +51 other locations,NA
3047,Toshiba Transmission & Distribution Systems,"Job Security, Work Life Balance, Salary",,4.0,363,1.7k,25,22,Electrical Equipment | Hyderabad +23 other locations,NA
3048,Hays Business Solutions,"Promotions, Skill Development, Salary",,3.3,363,1.9k,22,6,Recruitment | Noida +12 other locations,NA
3049,Mobiloitte Technologies,"Job Security, Company Culture, Work Life Balance",,3.1,363,1k,36,5,IT Services & Consulting | New Delhi +9 other locations,NA
3050,Hitachi Vantara,Work Life Balance,"Promotions, Work Satisfaction, Job Security",3.5,363,5.3k,7,13,IT Services & Consulting | Hyderabad +14 other locations,NA
3051,Endava,"Promotions, Skill Development, Work Satisfaction",,3.5,363,2.4k,26,1,IT Services & Consulting | Bengaluru +13 other locations,NA
3052,Sj Contracts,"Company Culture, Job Security, Skill Development",,4.2,363,1.2k,25,2,Engineering & Construction | Pune +9 other locations,NA
3053,Apmosys Technologies,"Company Culture, Promotions, Salary",,3.1,363,2.8k,54,15,IT Services & Consulting | Mumbai +9 other locations,NA
3054,VXI Global Solutions,"Promotions, Job Security, Skill Development",,3.3,363,971,28,1,BPO | Hyderabad +5 other locations,NA
3055,Kokuyo Camlin,"Job Security, Work Life Balance, Company Culture","Promotions, Salary",3.8,363,1.1k,25,6,FMCG | Mumbai +65 other locations,NA
3056,Subway,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,362,842,26,--,Hospitality | New Delhi +66 other locations,NA
