id,name,country,height,weight,team
2932,J. Pickford,England,185,82,Everton
2934,M. Keane,England,191,82,Everton
2936,J. Tarkowski,England,185,81,Everton
17661,J. Branthwaite,England,195,87,Everton
18758,S. Coleman,Republic of Ireland,177,67,Everton
18765,André Gomes,Portugal,188,84,Everton
19073,B. Godfrey,England,184,74,Everton
20069,B. Crellin,England,185,60,Everton
20224,A. Lonergan,England,192,87,Everton
82855,T. King,Wales,194,80,Everton
138417,N. Patterson,Scotland,189,83,Everton
138844,H. Tyrer,England,194,,Everton
153425,L. Dobbin,England,175,71,Everton
162714,A. Onana,Belgium,195,76,Everton
270139,J. O&apos;Brien,Republic of Ireland,197,92,Everton
297641,Jenson Metcalfe,England,,,Everton
298099,Mackenzie Hunt,England,173,,Everton
895,J. Garner,England,186,78,Everton
2165,V. Mykolenko,Ukraine,180,71,Everton
2990,I. Gueye,Senegal,174,66,Everton
18592,I. Ndiaye,Senegal,180,70,Everton
18766,D. Calvert-Lewin,England,187,71,Everton
18858,A. Begović,Bosnia and Herzegovina,199,101,Everton
18929,D. McNeil,England,183,68,Everton
19128,J. Harrison,England,175,70,Everton
19364,N. Maupay,France,173,69,Everton
24882,O. Mangala,Belgium,178,80,Everton
125743,Beto,Portugal,194,88,Everton
138822,A. Broja,Albania,191,83,Everton
167657,T. Onyango,England,190,76,Everton
195993,C. Alcaraz,Argentina,176,68,Everton
284326,Žan-Luk Leban,Slovenia,188,74,Everton
284385,Elijah Xavier Campbell,England,182,63,Everton
284500,T. Iroegbunam,England,183,70,Everton
296664,Isaac Heath,England,173,55,Everton
330412,Youssef Chermiti,Portugal,192,84,Everton
405360,H. Armstrong,England,185,70,Everton
894,A. Young,England,175,65,Everton
15884,J. Lindstrøm,Denmark,182,66,Everton
18755,João Virgínia,Portugal,193,83,Everton
18805,A. Doucouré,Mali,184,75,Everton
19150,M. Holgate,England,187,82,Everton
284266,L. Warrington,England,,,Everton
284280,Luke Joseph Butterfield,Scotland,175,64,Everton
284327,R. Welch,England,,,Everton
297640,Roman Dixon,England,175,65,Everton
301714,Owen Barker,England,173 cm,62 kg,Everton
328115,Martin Sherif,England,183,71,Everton
361676,Coby Ebere,England,187,,Everton
361679,Callum Bates,England,180,78,Everton
394501,Bradley Moonan,England,183,73,Everton
454,Y. Akgün,Türkiye,173,65,Leicester
1135,O. Édouard,France,187,83,Leicester
2778,K. Ịheanachọ,Nigeria,185,82,Leicester
2925,D. Praet,Belgium,181,78,Leicester
15870,M. Hermansen,Denmark,187,81,Leicester
19004,B. De Cordova-Reid,Jamaica,170,68,Leicester
19760,J. Justin,England,183,80,Leicester
138929,L. Brunt,England,187,,Leicester
148099,K. Dewsbury-Hall,England,178,80,Leicester
278116,Tawanda Jethro Maswanhise,England,180,,Leicester
283289,A. Raikhy,England,,,Leicester
284372,C. Doyle,England,185,72,Leicester
284403,Silko Amari Otieno Thomas,England,,,Leicester
304316,Henry Cartwright,England,175 cm,67 kg,Leicester
304322,C. Popov,Wales,170 cm,,Leicester
305732,T. Wilson-Brown,England,194,,Leicester
311334,F. Buonanotte,Argentina,174,66,Leicester
330986,M. Golding,England,178,73,Leicester
350626,L. Briggs,England,,,Leicester
400745,S. Bausor,England,,,Leicester
